,week_index,age_index,count
0,8,3,4
1,8,5,11
2,8,6,10
3,9,1,1
4,9,2,6
5,9,3,15
6,9,4,9
7,9,5,15
8,9,6,13
9,9,7,14
10,9,8,2
11,10,1,2
12,10,2,38
13,10,3,63
14,10,4,67
15,10,5,77
16,10,6,45
17,10,7,44
18,10,8,23
19,11,1,3
20,11,2,28
21,11,3,84
22,11,4,68
23,11,5,86
24,11,6,70
25,11,7,52
26,11,8,53
27,12,1,1
28,12,2,24
29,12,3,48
30,12,4,37
31,12,5,58
32,12,6,47
33,12,7,39
34,12,8,44
35,12,99,2
36,13,1,5
37,13,2,16
38,13,3,32
39,13,4,35
40,13,5,36
41,13,6,31
42,13,7,23
43,13,8,43
44,14,1,6
45,14,2,22
46,14,3,38
47,14,4,30
48,14,5,44
49,14,6,17
50,14,7,10
51,14,8,35
52,14,99,1
53,15,1,9
54,15,2,21
55,15,3,22
56,15,4,21
57,15,5,38
58,15,6,17
59,15,7,10
60,15,8,21
61,16,1,9
62,16,2,22
63,16,3,31
64,16,4,22
65,16,5,20
66,16,6,15
67,16,7,7
68,16,8,23
69,16,99,1
70,17,1,10
71,17,2,21
72,17,3,26
73,17,4,12
74,17,5,14
75,17,6,11
76,17,7,10
77,17,8,8
78,17,99,1
79,18,1,6
80,18,2,10
81,18,3,6
82,18,4,9
83,18,5,8
84,18,6,3
85,18,8,8
86,19,2,16
87,19,3,8
88,19,4,11
89,19,5,7
90,19,6,6
91,19,7,6
92,19,8,27
93,20,1,6
94,20,2,11
95,20,3,16
96,20,4,6
97,20,5,6
98,20,99,2
99,21,1,4
100,21,2,10
101,21,3,8
102,21,4,5
103,21,5,2
104,21,8,2
105,22,1,10
106,22,2,12
107,22,3,4
108,22,4,2
109,22,5,8
110,22,6,8
111,23,1,3
112,23,2,15
113,23,3,12
114,23,4,6
115,23,5,10
116,23,7,4
117,23,8,5
118,24,1,10
119,24,2,14
120,24,3,8
121,24,4,8
122,24,5,11
123,24,7,3
124,24,8,3
125,24,99,1
126,25,1,3
127,25,2,9
128,25,3,15
129,25,4,5
130,25,5,6
131,25,6,4
132,25,8,7
133,26,1,17
134,26,2,24
135,26,3,11
136,26,4,17
137,26,5,12
138,26,6,5
139,26,8,4
140,27,1,10
141,27,2,45
142,27,3,28
143,27,4,16
144,27,5,15
145,27,6,8
146,27,7,3
147,27,8,3
148,28,1,17
149,28,2,76
150,28,3,33
151,28,4,23
152,28,5,20
153,28,6,6
154,28,7,2
155,28,8,6
156,28,99,2
157,29,1,24
158,29,2,50
159,29,3,24
160,29,4,29
161,29,5,14
162,29,6,12
163,29,7,2
164,29,99,2
165,30,1,33
166,30,2,87
167,30,3,64
168,30,4,33
169,30,5,19
170,30,6,9
171,30,8,3
172,30,99,4
173,31,1,17
174,31,2,132
175,31,3,83
176,31,4,42
177,31,5,33
178,31,6,9
179,31,7,4
180,31,8,1
181,32,1,35
182,32,2,149
183,32,3,93
184,32,4,60
185,32,5,38
186,32,6,25
187,32,7,18
188,32,8,3
189,33,1,43
190,33,2,142
191,33,3,104
192,33,4,69
193,33,5,46
194,33,6,40
195,33,7,18
196,33,8,11
197,33,99,2
198,34,1,48
199,34,2,136
200,34,3,94
201,34,4,56
202,34,5,46
203,34,6,24
204,34,7,12
205,34,8,8
206,34,99,3
207,35,1,60
208,35,2,175
209,35,3,159
210,35,4,95
211,35,5,55
212,35,6,32
213,35,7,18
214,35,8,9
215,35,99,1
216,36,1,64
217,36,2,194
218,36,3,174
219,36,4,115
220,36,5,95
221,36,6,46
222,36,7,27
223,36,8,16
224,37,1,82
225,37,2,191
226,37,3,161
227,37,4,119
228,37,5,71
229,37,6,50
230,37,7,28
231,37,8,9
232,37,99,2
233,38,1,84
234,38,2,120
235,38,3,130
236,38,4,93
237,38,5,102
238,38,6,48
239,38,7,25
240,38,8,18
241,38,99,2
242,39,1,62
243,39,2,113
244,39,3,109
245,39,4,90
246,39,5,86
247,39,6,44
248,39,7,22
249,39,8,14
250,99,1,167
251,99,2,343
252,99,3,319
253,99,4,226
254,99,5,190
255,99,6,158
256,99,7,110
257,99,8,141
258,99,99,19
